Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,30pF,C1570
"C10, C11, C12, C13, C14, C5, C6, C7, C8, C9",0402,10,0.1uF,C307331
"C15, C16",0402,2,10uF,C15525
"C3, C4",0402,2,1uF,C52923
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D4, D5, D6, D7, D8, D9",D_SOD-323F,38,1N4148WS,C2128
J1,HRO_TYPE-C-31-M-12,1,HRO_TYPE-C-31-M-12,C165948
"R1, R3",0402,2,10K,C25744
"R2, R4",0402,2,1K,C11702
"R5, R6",0402,2,27,C25100
"R7, R8",0402,2,5.1K,C25905
SW1,Hot_Swap_Socket_CPG151101S11,1,Key Tab,C5156480
SW10,Hot_Swap_Socket_CPG151101S11,1,Key O,C5156480
SW11,Hot_Swap_Socket_CPG151101S11,1,Key P,C5156480
SW12,Hot_Swap_Socket_CPG151101S11,1,Key BS,C5156480
SW13,Hot_Swap_Socket_CPG151101S11,1,Key Caps,C5156480
SW14,Hot_Swap_Socket_CPG151101S11,1,Key A,C5156480
SW15,Hot_Swap_Socket_CPG151101S11,1,Key S,C5156480
SW16,Hot_Swap_Socket_CPG151101S11,1,Key D,C5156480
SW17,Hot_Swap_Socket_CPG151101S11,1,Key F,C5156480
SW18,Hot_Swap_Socket_CPG151101S11,1,Key G,C5156480
SW19,Hot_Swap_Socket_CPG151101S11,1,Key H,C5156480
SW2,Hot_Swap_Socket_CPG151101S11,1,Key Q,C5156480
SW20,Hot_Swap_Socket_CPG151101S11,1,Key J,C5156480
SW21,Hot_Swap_Socket_CPG151101S11,1,Key K,C5156480
SW22,Hot_Swap_Socket_CPG151101S11,1,Key L,C5156480
SW23,Hot_Swap_Socket_CPG151101S11,1,Key Return,C5156480
"SW24, SW33",Hot_Swap_Socket_CPG151101S11,2,Key Shift,C5156480
SW25,Hot_Swap_Socket_CPG151101S11,1,Key Z,C5156480
SW26,Hot_Swap_Socket_CPG151101S11,1,Key X,C5156480
SW27,Hot_Swap_Socket_CPG151101S11,1,Key C,C5156480
SW28,Hot_Swap_Socket_CPG151101S11,1,Key V,C5156480
SW29,Hot_Swap_Socket_CPG151101S11,1,Key B,C5156480
SW3,Hot_Swap_Socket_CPG151101S11,1,Key W,C5156480
SW30,Hot_Swap_Socket_CPG151101S11,1,Key N,C5156480
SW31,Hot_Swap_Socket_CPG151101S11,1,Key M,C5156480
SW32,Hot_Swap_Socket_CPG151101S11,1,"Key ,",C5156480
SW34,Hot_Swap_Socket_CPG151101S11,1,Key Ctrl,C5156480
SW35,Hot_Swap_Socket_CPG151101S11,1,Key Cmd,C5156480
SW36,Hot_Swap_Socket_CPG151101S11,1,Key Space,C5156480
SW37,Hot_Swap_Socket_CPG151101S11,1,Key Opt,C5156480
SW38,Hot_Swap_Socket_CPG151101S11,1,Key Fn,C5156480
SW4,Hot_Swap_Socket_CPG151101S11,1,Key E,C5156480
SW5,Hot_Swap_Socket_CPG151101S11,1,Key R,C5156480
SW6,Hot_Swap_Socket_CPG151101S11,1,Key T,C5156480
SW7,Hot_Swap_Socket_CPG151101S11,1,Key Y,C5156480
SW8,Hot_Swap_Socket_CPG151101S11,1,Key U,C5156480
SW9,Hot_Swap_Socket_CPG151101S11,1,Key I,C5156480
"SW_B1, SW_R1",Tactile_Switch_SKRP_Series,2,Alps_Alpine_SKRP,C470426
U1,RP2040_QFN-56,1,Raspberry_Pi_RP2040,C2040
U2,XSON-8-EP_4x4mm,1,W25Q64JVXGIQ,C2940195
U3,SOT-23-5,1,AP2112K-3.3,C51118
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
