Designator,Mid X,Mid Y,Rotation,Layer
C1,103.31,-100.725,180.0,top
C10,114.5725,-91.44,0.0,top
C11,109.7575,-88.215,90.0,top
C12,108.7575,-88.215,90.0,top
C13,111.1375,-101.885,270.0,top
C14,107.7575,-88.215,90.0,top
C15,136.3965,-31.395,180.0,top
C16,137.3565,-36.415,0.0,top
C2,103.31,-102.425,180.0,top
C3,113.7575,-89.195,90.0,top
C4,112.7575,-89.195,90.0,top
C5,104.5025,-92.44,180.0,top
C6,103.7025,-96.45,180.0,top
C7,110.1375,-101.885,270.0,top
C8,115.1725,-96.45,0.0,top
C9,114.5725,-92.44,0.0,top
D1,250.7775,-36.9,270.0,top
D10,79.3275,-36.9,270.0,top
D11,60.2775,-36.9,270.0,top
D12,41.2275,-36.9,270.0,top
D13,248.39625,-55.95,270.0,top
D14,226.965,-55.95,270.0,top
D15,207.915,-55.95,270.0,top
D16,188.865,-55.95,270.0,top
D17,169.815,-55.95,270.0,top
D18,150.765,-55.95,270.0,top
D19,131.715,-55.95,270.0,top
D2,231.7275,-36.9,270.0,top
D20,112.665,-55.95,270.0,top
D21,93.615,-55.95,270.0,top
D22,74.565,-55.95,270.0,top
D23,48.37125,-55.95,270.0,top
D24,243.63375,-75.0,270.0,top
D25,217.44,-75.0,270.0,top
D26,198.39,-75.0,270.0,top
D27,179.34,-75.0,270.0,top
D28,160.29,-75.0,270.0,top
D29,141.24,-75.0,270.0,top
D3,212.6775,-36.9,270.0,top
D30,122.19,-75.0,270.0,top
D31,103.14,-75.0,270.0,top
D32,84.09,-75.0,270.0,top
D33,53.13375,-75.0,270.0,top
D34,234.10875,-94.05,270.0,top
D35,210.29625,-94.05,270.0,top
D36,141.24,-94.05,270.0,top
D37,74.565,-94.05,270.0,top
D38,55.515,-94.05,270.0,top
D4,193.6275,-36.9,270.0,top
D5,174.5775,-36.9,270.0,top
D6,160.775,-44.28,90.0,top
D7,141.725,-44.28,90.0,top
D8,117.4275,-36.9,270.0,top
D9,98.3775,-36.9,270.0,top
J1,142.875,-32.7175,180.0,top
R1,112.0175,-100.025,180.0,top
R2,109.1375,-101.885,270.0,top
R3,99.129,-87.895,0.0,top
R4,101.0875,-96.895,270.0,top
R5,110.7575,-89.195,90.0,top
R6,111.7575,-89.195,90.0,top
R7,140.905,-36.815,180.0,top
R8,144.845,-36.815,0.0,top
SW1,247.015,-41.91,0.0,top
SW10,75.565,-41.91,0.0,top
SW11,56.515,-41.91,0.0,top
SW12,37.465,-41.91,0.0,top
SW13,244.63375,-60.96,0.0,top
SW14,223.2025,-60.96,0.0,top
SW15,204.1525,-60.96,0.0,top
SW16,185.1025,-60.96,0.0,top
SW17,166.0525,-60.96,0.0,top
SW18,147.0025,-60.96,0.0,top
SW19,127.9525,-60.96,0.0,top
SW2,227.965,-41.91,0.0,top
SW20,108.9025,-60.96,0.0,top
SW21,89.8525,-60.96,0.0,top
SW22,70.8025,-60.96,0.0,top
SW23,44.60875,-60.96,0.0,top
SW24,239.87125,-80.01,0.0,top
SW25,213.6775,-80.01,0.0,top
SW26,194.6275,-80.01,0.0,top
SW27,175.5775,-80.01,0.0,top
SW28,156.5275,-80.01,0.0,top
SW29,137.4775,-80.01,0.0,top
SW3,208.915,-41.91,0.0,top
SW30,118.4275,-80.01,0.0,top
SW31,99.3775,-80.01,0.0,top
SW32,80.3275,-80.01,0.0,top
SW33,49.37125,-80.01,0.0,top
SW34,230.34625,-99.06,0.0,top
SW35,206.53375,-99.06,0.0,top
SW36,137.4775,-99.06,0.0,top
SW37,70.8025,-99.06,0.0,top
SW38,51.7525,-99.06,0.0,top
SW4,189.865,-41.91,0.0,top
SW5,170.815,-41.91,0.0,top
SW6,151.765,-41.91,0.0,top
SW7,132.715,-41.91,0.0,top
SW8,113.665,-41.91,0.0,top
SW9,94.615,-41.91,0.0,top
SW_B1,100.0125,-100.675,270.0,top
SW_R1,119.0625,-100.675,270.0,top
U1,109.5375,-95.25,0.0,top
U2,102.609,-89.075,0.0,top
U3,135.9215,-33.905,180.0,top
Y1,106.47,-101.575,0.0,top
